no,cid,text,image,pid,likes,comments,shares,post_time,scraped_at
58767,103458,"I have been dating my bf for a while but there are some points that I just cannot shrug off.
The expectation is that a guy should be at least a head taller than his girlfriend, but this is something that can only happen in my dream. The reason is he is only 2cm taller and not even 175cm, meaning that it feels like he is a sister/pal to me rather than an oppa. He is way too short for a guy and it doesnt give me a strong sense of security. I estimate he is in the lower tier of height range perhaps somewhere between 1.70-1.73m.
In fact, I would like to ask my fella ladies out there who are willing to date shorter guys or even marry them. What do you see in them? Dont you regret it after a while or will make this an issue whenever you start quarreling? There are plenty of bigger fishes out there and I am now starting to regret it.
Before you commentors start bashing me, I will be fair and point out some of his merits along with my concerns.
1. Yes, he is pretty good looking and has a nice heart. He often shows care for cats/dogs and feed them but I find this trait less manly and somewhat gross. A real man should be more aggressive, not like a beta sissy that plays with small animals.
2. He often buys lunch for me and brings it to the secondary school where I am teaching. However, sometimes kaypoh students will come to me and ask ""Cher, your boyfriend ah? Legit? Why so short one?""- Not surprising since even my female students are taller than him. This is ridiculously embarassing. I even told my bf not to bring lunch to me but he doesnt get my point... He will just say "" If we are truly in love, we shouldnt care what others say""..... Yeah right you are not the teacher...
3. He will offer to carry the plastic bags whenever we go shopping. The problem is his legs are short so his hands are like in close proximity to the ground, resulting in some long plastic bags being dragged, even though I understand he doesnt mean it. This is pretty unsightly.
4. He is a mathematician and I remembered once he drew me a heart using math equations. This seems romantic to others but lame in my eyes. If he is sincere, he would have drawn the heart by hand, not indulge in these kinds of boring stuff. After all, how can all these math help him in his future prospect? I knew of a few friends already earning big bucks without knowledge of maths.
I do not not wish to elaborate any further because for every merit that I can think of, it is diluted by the negative aspects. They cant even offset his midget stature.
Unfortunately, all the good quality tall guys are already taken by the short girls, otherwise I would have ended this relationship earlier. I do not want my female besties to find out that I broke up, so I will just bear with it for a while.
My message to my fella sisters out there who are currently attached to the shorter guys. It is never too late to back out! Think of your future!
-
#103458: https://www.nuswhispers.com/confession/103458",,7363927357010995,119,1049,520,2022-05-13 23:38:17+00:00,2022-10-14 08:30:05+00:00
58649,103251,"I've been together with my boyfriend for 3 years. Last year he graduated and found a job that pays him $3.5k a month. To be honest I was shocked that his salary is quite low. Because some of my friends and cousins are earning much higher than him. I often encouraged him to find a better job. I also asked him to take up some courses to improve his chances. He already took up a few courses but he still couldn't find a better job.
Recently, I was bored and downloaded a dating app for fun. Surprisingly, I matched with a lot of guys who seem quite eligible. I even matched with a lawyer and an investment associate. I have been chatting with the investment associate for two weeks now. He would text me only a few times a day because he's a very busy guy. Yesterday was his birthday so he told me he celebrated his birthday with his family at home.
After his birthday celebration, he suddenly said he wants to see me. At around 3am, he snuck out of his house and drove to my house to see me. I went down to the carpark to meet him and was quite surprised to see that he drives a luxury car and he looks even better in real life. We chatted for 2 hours in his car. He then walked me to the lift and even kissed me on my cheek. Although we barely know each other, I actually feel quite happy that he kissed me. When he reached home, he texted me to say that he enjoyed talking to me and he would like to see me again.
He seems like a really nice guy. I know I shouldn't compare but my bf isn't even that nice. And my bf is unable to find a decent job so I'm worried about my future when we get married. But my bf and I have been together for 3 years so our relationship is very stable. I feel like if I break up with him now, 3 years of my life would be wasted. What should I do? Should I just stick to my bf because he is obviously a safer choice? Or should I continue to go out with the investment guy and then break up with my bf when the investment guy confess to me?
-
#103251: https://www.nuswhispers.com/confession/103251",,7308185179251880,165,876,315,2022-05-02 01:42:45+00:00,2022-08-05 08:32:40+00:00
57933,101855,"Need to rant. My ex-boyfriend is so cheapskate. Today he suddenly texted me and asked me if I could return him the engagement ring that he proposed to me with.
We dated for 4 years before he proposed to me in August last year. A month later, he quit his job because he wanted to start a business with his friends. I then broke up with him as I felt very disappointed with his stupid start-up dreams. Fortunately I met someone new at my workplace who’s way more mature and financially stable than him so I managed to quickly move on.
So today he told me he would like to sell the engagement ring as he would like to expand his business. I asked him why bother selling this ring as it’s not that expensive anyway. He then said that this ring costs alot to him as he saved up for 2 years to buy it because he knew that it was my dream to own this ring. Playing the sympathy card. Yikes.
To be honest this ring is not really super expensive, at most $60k? So I don’t understand why he is so determined to take it back. I am seriously disgusted with how thick-skinned he is, how he tries so hard to convince me to return him the ring. Somemore he already know that it is my dream to own this ring.
But when I told my friends about this, they all told me I should return him the ring and support him in his start-up dream and then ask my current boyfriend to buy me a new one. Seriously how to support such stupid dream? So should I return him the ring or not? I have the right to reject him right?
-
#101855: https://www.nuswhispers.com/confession/101855",,6938798696190532,77,607,193,2022-02-11 00:24:26+00:00,2022-05-23 22:00:13+00:00
58807,103530,"tl;dr: I cheated with my female colleague and I feel very bad about it. What made it worse was that my wife witnessed the cheating…
I'm happily married with a wonderful wife with two kids. I work in marketing in an FMCG company and I'm constantly surrounded by younger female colleagues. Ngl, many of them are very attractive but I'm a faithful man who thinks with his bigger head.
However my life recently turned upside down. There's this female colleague who recently joined, let's call her G. G is in her late twenties and has a face and figure many women would die for and many men would go for. I was so surprised to find out that she was single (she gave me that information without me asking). G would constantly ask me for advice dealing with work matters and invite me to go lunch together with her batch. Sometimes we go for lunches and it's just the two of us. G would constantly ask me what I was doing over the weekend and tell me what her plans were. She was actively using dating apps but none of the guys were up to her standards. She would often flirt with me (I think?) Like when we are alone she would playfully brush my arms and sometimes bump into me (too often for it to be by accident). She’d also tell me about her experiences with her dates and how they're not good, and I'm so much better. I always felt a weird sensation whenever I hear that from her. It’s a nice feeling to be validated, but I’m married and it feels wrong.
One fateful day, as my wife had to use the car that day, she came to my office to pick me up. As I was walking away from the office with my wife, G somehow appeared out of nowhere and said hi to us and was extremely friendly towards my wife. G and my wife started chatting as if they were besties and they somehow ended up organizing a games night at my place that weekend. G said she’d bring her date over.
Fast forward to that day, G came with her date. Not sure why but I felt a tinge of jealousy seeing him. We decided to play some card games and I ended up partnering with G. This is when things went down. G was secretly texting me the cards she had in her hand and signaled me to read my phone. I got the hint and was trying to discreetly look at my phone. However, my wife caught me doing that and snatched my phone away and she saw the message from G. She acted like it was ok but after G and date left, she was so furious that I cheated with G during the games and my wife refuses to talk to me now.
How can I appease my wife?
-
#103530: https://www.nuswhispers.com/confession/103530",,7383007208436343,790,447,1104,2022-05-17 23:51:55+00:00,2022-10-17 21:23:37+00:00
58900,103714,"I fell for a Siam bu.
Before u guys judge me, please hear me out. I often frequent Thai disco / Siam Diu as a means to de-stress. I find that the loud music and spinning lights help take the stress away from my work.
Like any other visit, I sat at my usual spot when a petite silhouette from afar caught my attention. Her round eyes, sharp nose, and elongated legs is what many would consider ""attractive"". Not to mention that her long and silky hair that is constantly brushing against her shoulder line; any man would subconsciously gravitate toward her and I was no exception.
I could not help but to glance in her direction without making it too obvious. I got caught eventually and we exchanged eye contact for a good 10 seconds. She understood the assignment and came over for a chat. As we began sharing more about each other, I realized that we have many things in common. We immediately clicked as though we had known each other right from the beginning. She introduced herself as ""Moon.""
At that moment, I felt as though I had found my soulmate. Talking to Moon made me forget about my fatigue from work. It was as though time had stopped. Deep down, I was sincerely hoping that the conversation could last forever. Time flew quickly, and before I knew it, the place was closing for the night. We exchanged contact and parted ways.
The next day, my phone rang. On answering, I was greeted by a familiar voice. It was Moon. My face lit up knowing that I could connect with her again. We agreed to meet up at a Thai restaurant called NaNa at Golden mille.
NaNa restaurant is a famous Thai restaurant in SG. Moon claimed to be a frequent patron of the place as their food tasted close to home. She even use the opportunity to teach me the name of the dishes in Thai. Halfway through our meal, she was rudely interrupted by a phone call which led her to leaving the restaurant. She claimed that she had something urgent to attend to, and needed to excuse herself. She sounded anxious.
Feeling concerned, I quickly paid the tab and followed her. I was soon led to one of the floor exits where I found her seated on the stairs and sobbing uncontrollably. I approached her to check on her. My presence caught her off guard and, almost immediately, she apologized for leaving me alone in the restaurant. She then went on to explain what happened. Turns out, her mom was terminally ill, and needed money for her operation. Sympathizing with her plight, I agreed to help her out without much hesitation.
As I was about to get up and make the withdrawal. She grabbed my hand and pulled me towards her. She gave me a peck on my cheek to express her gratitude. Things got heated up and we made love in a public space. Despite the shabby location, the sex was good and memorable. The day ended on a good note with her settling her family matters with my financial support.
That incident pulled us closer as we started hanging out more. Despite numerous warnings from my friends and family about her intention, I chose to believe her as I felt that the society perception towards hostress is based on stereotypes. Things, however, did get dubious when she started asking for more money...
P.S I realized the story is getting too lengthy and I apologized. I'll split the story and post the part two if the post hits 200 likes
-
#103714: https://www.nuswhispers.com/confession/103714",,7449352511801812,581,431,254,2022-05-30 23:43:22+00:00,2022-10-18 02:28:17+00:00
58128,102276,"To the guy who used sugarbook, don't bother about what the comments say. Just accept that in this world, men can never win.
If a women post about her sugarbook experience, she is empowering, brave, not constrained by the limits and expectations of society. If a man post about his sugarbook experience, he is a scumbag.
When a man wants to split expenses 50-50, he is calculative, not generous, dump him. When a women wants to split housework 50-50, it is equality.
Just like how guys should mind their own business and not care about what girls wear, why should girls not mind their own business and not care about how guys spend their money.
In this day and age, equality is only used when it suits the narrative of females, otherwise it is why are you not gentlemanly enough.
-
#102276: https://www.nuswhispers.com/confession/102276",,7056365867767147,288,420,18,2022-03-06 00:20:51+00:00,2022-07-09 06:13:09+00:00
58166,102356,"My hubby is almost 40 years old yet he speaks with his mother on the phone everyday. It’s either his mum calls him or he calls his mum. I can’t stand such a mummy’s boy & honestly it’s a my dealbreaker for me if I’d known about his habit when we were dating. I visit my in-laws once to two times a week. It’s not like they can’t update each other then. Rmb it’s not emergency stuff that they’re updating each other everyday. She also doesn’t have major health issues.
She is very reliant on him on everything. She & her husband are moving to an estate close to us soon & I’m worried my hubby will run every small errand his parents esp. his mother asks of him simply because he chats with her everyday. His mother asks him to do errands even when they live far apart, not to mention when they move near to us.
Guys, do you call your mum everyday to update her about your day. I’m a girl and I don’t even do that! It’s creepy.
I’ve sounded this out to him by saying, ‘How come your mum calls you everyday?’ But he thinks nothing of it & doesn’t get the hint that I’m disgusted by it. How can I make it clearer to him that he & his mum’s call routine is creepy? He may just hide, call & whisper in the toilet if I make it any more obvious. Sorry, their kind of co-dependency sh*t & intimacy just borders on incest even though it’s not. It’s simply not healthy.
-
#102356: https://www.nuswhispers.com/confession/102356",,7074417612628639,65,373,38,2022-03-10 01:59:23+00:00,2022-07-09 06:13:10+00:00
58793,103506,"Manly guys should be hairy - that has been my opinion since puberty, so I have never shaved in my life, and I admire my armpit hair at least once a day in front of the mirror. I like exercising topless at parks and gyms, where I spend most of my time at the pull-up bars so I can flaunt my hairy armpits and make manly grunts that would arouse the opposite s**. However, the number of girls who would look lustfully in my direction has diminished over the years to an alarming zero.
To combat this, recently I have taken to frequenting nearby 7-11s after my workout, giving a free show of my topless sweaty body to any surrounding females. I even raise my arms in the pretense of stretching so that they can enjoy an unimpeded view of my erotic armpits, but even the cashier avoided my gaze. I don't know what else I can do apart from bellowing out loud: ""BEHOLD MY MANLY ARMPIT HAIR!""
Are girls these days brainwashed by those hairless feminine sissies from BTS and other Kpop boybands to the extent that they no longer appreciate a proper manly, hairy male?
-
#103506: https://www.nuswhispers.com/confession/103506",,7378274698909594,79,365,170,2022-05-16 23:52:16+00:00,2022-10-17 21:23:36+00:00
58895,103708,"HELPPPP what do you do with guys who try so hard to act cool in front of girls? On Friday my mentor said he will treat me to lunch to celebrate my first week at the job; I agreed to the lunch but politely declined the treat, then suddenly he pulled off a Korean CEO move by cornering me into a wall and resting one hand on the wall, saying ""I don't take no for an answer. It's settled."" Unfortunately, his outstretched arm featured a ginormous ARMPIT STAIN AHHHHHHHHHHHHHHHHHHH
Not only that, on my first day when I passed a comment worrying about whether I will pass probation, he knocked his index finger against my forehand and was like, ""Silly girl. You have me."" He obviously didn't watch properly how they do it in kdramas, because instead of a light tap he Mike Tyson-ed it and my head literally snapped back and I muffled an ""OOF"". Laoniang had a blue-black for two days okay.
In case you were wondering, yes he wears his jacket with the collar turned up. Oh my god.
-
#103708: https://www.nuswhispers.com/confession/103708",,7443760885694308,378,333,1366,2022-05-30 00:51:09+00:00,2022-10-18 02:28:21+00:00
57994,102001,"I’m having a physical affair with my helper. I know this is wrong but I don’t know what to do. This started mid last year and we both secretly get together whenever we are alone at home. I started developing feelings for her when once she helped me with a body massage. Things escalated from there and now I’m unable to stop myself. We click very well and i think there’s a big attraction between us.
We do keep our personal moments off from the family time. When it comes to her work and household chores she takes care of everything very well. She has never taken advantage of the situation and failed to work properly because of our affair.
The problem is i think my mum (staying with us) sensed something recently and ever since she has been insisting on sending our helper back home. She keeps finding fault with her which was not the case in the past. I really don’t want her to be sent back as this is not her fault. She has a family to feed back home and i feel very guilty.
But I can’t speak about this to anyone. I can’t even bring myself to ask my friends for advice. I’m also very worried that my mum might say something about this to my husband. Till date he hasn’t sensed anything and I didn’t deprive him of anything because of what i get with our helper. But I’m just very scared and worried. I still love my husband and i care for our helper too.
-
#102001: https://www.nuswhispers.com/confession/102001",,6982595275144207,114,325,308,2022-02-19 02:03:01+00:00,2022-07-08 11:57:15+00:00
